(byte: 00 | bit: 0 | Sbox_index: 0 | index: 78160 | nb shares: 10)  00 =>  0.185789  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 39 | index: 78672 | nb shares: 3)  00 =>  0.101043  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 40 | index: 77829 | nb shares: 3)  a5 =>  0.166232  /  0.110169
(byte: 00 | bit: 0 | Sbox_index: 41 | index: 78472 | nb shares: 2)  00 =>  0.069752  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 42 | index: 79524 | nb shares: 3)  a5 =>  0.141460  /  0.112777
(byte: 00 | bit: 0 | Sbox_index: 43 | index: 80471 | nb shares: 3)  00 =>  0.074967  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 44 | index: 77676 | nb shares: 3)  a5 =>  0.174055  /  0.108866
(byte: 00 | bit: 0 | Sbox_index: 45 | index: 88343 | nb shares: 3)  00 =>  0.072360  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 46 | index: 77998 | nb shares: 6)  a5 =>  0.232725  /  0.108866
(byte: 00 | bit: 0 | Sbox_index: 47 | index: 78160 | nb shares: 10)  00 =>  0.185789  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 48 | index: 80737 | nb shares: 3)  a5 =>  0.264016  /  0.136245
(byte: 00 | bit: 0 | Sbox_index: 49 | index: 78795 | nb shares: 2)  00 =>  0.163625  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 50 | index: 77405 | nb shares: 3)  a5 =>  0.231421  /  0.121904
(byte: 00 | bit: 0 | Sbox_index: 51 | index: 97001 | nb shares: 11)  00 =>  0.072360  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 52 | index: 77676 | nb shares: 3)  a5 =>  0.217080  /  0.129726
(byte: 00 | bit: 0 | Sbox_index: 53 | index: 77428 | nb shares: 3)  00 =>  0.097132  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 54 | index: 79524 | nb shares: 3)  a5 =>  0.240548  /  0.132334
(byte: 00 | bit: 0 | Sbox_index: 55 | index: 77481 | nb shares: 6)  00 =>  0.094524  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 56 | index: 77676 | nb shares: 3)  a5 =>  0.245763  /  0.131030
(byte: 00 | bit: 0 | Sbox_index: 57 | index: 87228 | nb shares: 18)  00 =>  0.077575  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 58 | index: 77829 | nb shares: 3)  a5 =>  0.166232  /  0.110169
(byte: 00 | bit: 0 | Sbox_index: 59 | index: 77056 | nb shares: 2)  00 =>  0.104954  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 60 | index: 79524 | nb shares: 3)  a5 =>  0.141460  /  0.112777
(byte: 00 | bit: 0 | Sbox_index: 61 | index: 77008 | nb shares: 6)  00 =>  0.155802  /  0.000000
(byte: 00 | bit: 0 | Sbox_index: 62 | index: 77676 | nb shares: 3)  a5 =>  0.174055  /  0.108866
(byte: 00 | bit: 0 | Sbox_index: 63 | index: 83116 | nb shares: 4)  00 =>  0.074967  /  0.000000
count: 28/64

(byte: 01 | bit: 0 | Sbox_index: 0 | index: 82653 | nb shares: 10)  00 =>  0.068449  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 1 | index: 81148 | nb shares: 2)  00 =>  0.107562  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 2 | index: 80603 | nb shares: 3)  00 =>  0.085398  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 3 | index: 93791 | nb shares: 3)  00 =>  0.074967  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 4 | index: 82282 | nb shares: 2)  00 =>  0.081486  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 5 | index: 77557 | nb shares: 6)  00 =>  0.076271  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 6 | index: 77639 | nb shares: 3)  00 =>  0.147979  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 7 | index: 87120 | nb shares: 3)  00 =>  0.073664  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 8 | index: 77375 | nb shares: 2)  00 =>  0.149283  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 9 | index: 77687 | nb shares: 2)  00 =>  0.117992  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 10 | index: 77597 | nb shares: 10)  00 =>  0.159713  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 11 | index: 92805 | nb shares: 2)  00 =>  0.076271  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 12 | index: 80716 | nb shares: 2)  00 =>  0.078879  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 13 | index: 80252 | nb shares: 2)  00 =>  0.250978  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 14 | index: 78252 | nb shares: 3)  00 =>  0.077575  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 15 | index: 81161 | nb shares: 2)  00 =>  0.091917  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 16 | index: 78004 | nb shares: 2)  00 =>  0.117992  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 17 | index: 78004 | nb shares: 2)  00 =>  0.078879  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 18 | index: 78621 | nb shares: 3)  2e =>  0.400913  /  0.164928
(byte: 01 | bit: 0 | Sbox_index: 19 | index: 80693 | nb shares: 3)  2e =>  0.370926  /  0.202738
(byte: 01 | bit: 0 | Sbox_index: 20 | index: 80977 | nb shares: 3)  2e =>  0.494785  /  0.180574
(byte: 01 | bit: 0 | Sbox_index: 21 | index: 78148 | nb shares: 3)  2e =>  0.220991  /  0.108866
(byte: 01 | bit: 0 | Sbox_index: 22 | index: 80977 | nb shares: 3)  2e =>  0.235332  /  0.119296
(byte: 01 | bit: 0 | Sbox_index: 23 | index: 78960 | nb shares: 3)  2e =>  0.433507  /  0.214472
(byte: 01 | bit: 0 | Sbox_index: 24 | index: 78034 | nb shares: 3)  2e =>  0.437419  /  0.206649
(byte: 01 | bit: 0 | Sbox_index: 25 | index: 80391 | nb shares: 3)  2e =>  0.197523  /  0.162321
(byte: 01 | bit: 0 | Sbox_index: 26 | index: 78210 | nb shares: 3)  2e =>  0.243155  /  0.128422
(byte: 01 | bit: 0 | Sbox_index: 27 | index: 80616 | nb shares: 3)  2e =>  0.227510  /  0.106258
(byte: 01 | bit: 0 | Sbox_index: 28 | index: 78960 | nb shares: 3)  2e =>  0.201434  /  0.124511
(byte: 01 | bit: 0 | Sbox_index: 29 | index: 81148 | nb shares: 2)  00 =>  0.107562  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 30 | index: 78960 | nb shares: 3)  2e =>  0.218383  /  0.115385
(byte: 01 | bit: 0 | Sbox_index: 31 | index: 93791 | nb shares: 3)  00 =>  0.074967  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 32 | index: 80616 | nb shares: 3)  2e =>  0.227510  /  0.124511
(byte: 01 | bit: 0 | Sbox_index: 33 | index: 77557 | nb shares: 6)  00 =>  0.076271  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 34 | index: 80977 | nb shares: 3)  2e =>  0.231421  /  0.111473
(byte: 01 | bit: 0 | Sbox_index: 35 | index: 87120 | nb shares: 3)  00 =>  0.073664  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 36 | index: 80977 | nb shares: 3)  2e =>  0.231421  /  0.124511
(byte: 01 | bit: 0 | Sbox_index: 37 | index: 77687 | nb shares: 2)  00 =>  0.117992  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 38 | index: 78210 | nb shares: 3)  2e =>  0.243155  /  0.128422
(byte: 01 | bit: 0 | Sbox_index: 39 | index: 92805 | nb shares: 2)  00 =>  0.076271  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 40 | index: 80616 | nb shares: 3)  2e =>  0.166232  /  0.125815
(byte: 01 | bit: 0 | Sbox_index: 41 | index: 80252 | nb shares: 2)  00 =>  0.250978  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 42 | index: 78148 | nb shares: 3)  2e =>  0.149283  /  0.108866
(byte: 01 | bit: 0 | Sbox_index: 43 | index: 81161 | nb shares: 2)  00 =>  0.091917  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 44 | index: 78621 | nb shares: 3)  2e =>  0.137549  /  0.116688
(byte: 01 | bit: 0 | Sbox_index: 45 | index: 78004 | nb shares: 2)  00 =>  0.078879  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 46 | index: 78960 | nb shares: 3)  2e =>  0.201434  /  0.124511
(byte: 01 | bit: 0 | Sbox_index: 47 | index: 82653 | nb shares: 10)  00 =>  0.068449  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 48 | index: 78960 | nb shares: 3)  2e =>  0.218383  /  0.115385
(byte: 01 | bit: 0 | Sbox_index: 49 | index: 80603 | nb shares: 3)  00 =>  0.085398  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 50 | index: 80616 | nb shares: 3)  2e =>  0.227510  /  0.124511
(byte: 01 | bit: 0 | Sbox_index: 51 | index: 82282 | nb shares: 2)  00 =>  0.081486  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 52 | index: 80977 | nb shares: 3)  2e =>  0.231421  /  0.111473
(byte: 01 | bit: 0 | Sbox_index: 53 | index: 77639 | nb shares: 3)  00 =>  0.147979  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 54 | index: 80977 | nb shares: 3)  2e =>  0.231421  /  0.124511
(byte: 01 | bit: 0 | Sbox_index: 55 | index: 77375 | nb shares: 2)  00 =>  0.149283  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 56 | index: 78210 | nb shares: 3)  2e =>  0.243155  /  0.128422
(byte: 01 | bit: 0 | Sbox_index: 57 | index: 77597 | nb shares: 10)  00 =>  0.159713  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 58 | index: 80616 | nb shares: 3)  2e =>  0.166232  /  0.125815
(byte: 01 | bit: 0 | Sbox_index: 59 | index: 80716 | nb shares: 2)  00 =>  0.078879  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 60 | index: 78148 | nb shares: 3)  2e =>  0.149283  /  0.108866
(byte: 01 | bit: 0 | Sbox_index: 61 | index: 78252 | nb shares: 3)  00 =>  0.077575  /  0.000000
(byte: 01 | bit: 0 | Sbox_index: 62 | index: 78621 | nb shares: 3)  2e =>  0.137549  /  0.116688
(byte: 01 | bit: 0 | Sbox_index: 63 | index: 78004 | nb shares: 2)  00 =>  0.117992  /  0.000000
count: 28/64

(byte: 02 | bit: 0 | Sbox_index: 0 | index: 79146 | nb shares: 6)  00 =>  0.089309  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 1 | index: 79138 | nb shares: 2)  00 =>  0.174055  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 2 | index: 84529 | nb shares: 2)  00 =>  0.081486  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 3 | index: 80941 | nb shares: 2)  00 =>  0.076271  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 4 | index: 99777 | nb shares: 2)  00 =>  0.085398  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 5 | index: 97814 | nb shares: 2)  00 =>  0.097132  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 6 | index: 78465 | nb shares: 6)  00 =>  0.098435  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 7 | index: 81140 | nb shares: 3)  00 =>  0.088005  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 8 | index: 89045 | nb shares: 9)  00 =>  0.073664  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 9 | index: 77961 | nb shares: 2)  00 =>  0.209257  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 10 | index: 78800 | nb shares: 2)  00 =>  0.201434  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 11 | index: 80131 | nb shares: 2)  00 =>  0.081486  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 12 | index: 101417 | nb shares: 2)  00 =>  0.090613  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 13 | index: 78805 | nb shares: 2)  00 =>  0.128422  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 14 | index: 77896 | nb shares: 5)  00 =>  0.102347  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 15 | index: 79948 | nb shares: 2)  00 =>  0.119296  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 16 | index: 82710 | nb shares: 2)  00 =>  0.091917  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 17 | index: 98108 | nb shares: 3)  00 =>  0.073664  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 18 | index: 80442 | nb shares: 3)  b3 =>  0.363103  /  0.183181
(byte: 02 | bit: 0 | Sbox_index: 19 | index: 82152 | nb shares: 3)  b3 =>  0.446545  /  0.150587
(byte: 02 | bit: 0 | Sbox_index: 20 | index: 80874 | nb shares: 3)  b3 =>  0.489570  /  0.172751
(byte: 02 | bit: 0 | Sbox_index: 21 | index: 81110 | nb shares: 3)  b3 =>  0.247066  /  0.120600
(byte: 02 | bit: 0 | Sbox_index: 22 | index: 80633 | nb shares: 3)  b3 =>  0.230117  /  0.103651
(byte: 02 | bit: 0 | Sbox_index: 23 | index: 81110 | nb shares: 3)  b3 =>  0.432203  /  0.163625
(byte: 02 | bit: 0 | Sbox_index: 24 | index: 81862 | nb shares: 3)  b3 =>  0.415254  /  0.166232
(byte: 02 | bit: 0 | Sbox_index: 25 | index: 80220 | nb shares: 3)  b3 =>  0.214472  /  0.145372
(byte: 02 | bit: 0 | Sbox_index: 26 | index: 80442 | nb shares: 3)  b3 =>  0.177966  /  0.123207
(byte: 02 | bit: 0 | Sbox_index: 27 | index: 80530 | nb shares: 3)  b3 =>  0.211864  /  0.104954
(byte: 02 | bit: 0 | Sbox_index: 28 | index: 80530 | nb shares: 3)  b3 =>  0.236636  /  0.121904
(byte: 02 | bit: 0 | Sbox_index: 29 | index: 79138 | nb shares: 2)  00 =>  0.174055  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 30 | index: 81110 | nb shares: 3)  b3 =>  0.204042  /  0.138853
(byte: 02 | bit: 0 | Sbox_index: 31 | index: 80941 | nb shares: 2)  00 =>  0.076271  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 32 | index: 81862 | nb shares: 3)  b3 =>  0.200130  /  0.116688
(byte: 02 | bit: 0 | Sbox_index: 33 | index: 97814 | nb shares: 2)  00 =>  0.097132  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 34 | index: 80874 | nb shares: 3)  b3 =>  0.232725  /  0.110169
(byte: 02 | bit: 0 | Sbox_index: 35 | index: 81140 | nb shares: 3)  00 =>  0.088005  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 36 | index: 80220 | nb shares: 3)  b3 =>  0.244459  /  0.114081
(byte: 02 | bit: 0 | Sbox_index: 37 | index: 77961 | nb shares: 2)  00 =>  0.209257  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 38 | index: 80442 | nb shares: 3)  b3 =>  0.177966  /  0.123207
(byte: 02 | bit: 0 | Sbox_index: 39 | index: 80131 | nb shares: 2)  00 =>  0.081486  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 40 | index: 80874 | nb shares: 3)  b3 =>  0.185789  /  0.121904
(byte: 02 | bit: 0 | Sbox_index: 41 | index: 78805 | nb shares: 2)  00 =>  0.128422  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 42 | index: 81862 | nb shares: 3)  b3 =>  0.149283  /  0.120600
(byte: 02 | bit: 0 | Sbox_index: 43 | index: 79948 | nb shares: 2)  00 =>  0.119296  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 44 | index: 80530 | nb shares: 3)  b3 =>  0.179270  /  0.104954
(byte: 02 | bit: 0 | Sbox_index: 45 | index: 98108 | nb shares: 3)  00 =>  0.073664  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 46 | index: 80530 | nb shares: 3)  b3 =>  0.236636  /  0.121904
(byte: 02 | bit: 0 | Sbox_index: 47 | index: 79146 | nb shares: 6)  00 =>  0.089309  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 48 | index: 81110 | nb shares: 3)  b3 =>  0.204042  /  0.138853
(byte: 02 | bit: 0 | Sbox_index: 49 | index: 84529 | nb shares: 2)  00 =>  0.081486  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 50 | index: 81862 | nb shares: 3)  b3 =>  0.200130  /  0.116688
(byte: 02 | bit: 0 | Sbox_index: 51 | index: 99777 | nb shares: 2)  00 =>  0.085398  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 52 | index: 80874 | nb shares: 3)  b3 =>  0.232725  /  0.110169
(byte: 02 | bit: 0 | Sbox_index: 53 | index: 78465 | nb shares: 6)  00 =>  0.098435  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 54 | index: 80220 | nb shares: 3)  b3 =>  0.244459  /  0.114081
(byte: 02 | bit: 0 | Sbox_index: 55 | index: 89045 | nb shares: 9)  00 =>  0.073664  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 56 | index: 80442 | nb shares: 3)  b3 =>  0.177966  /  0.123207
(byte: 02 | bit: 0 | Sbox_index: 57 | index: 78800 | nb shares: 2)  00 =>  0.201434  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 58 | index: 80874 | nb shares: 3)  b3 =>  0.185789  /  0.121904
(byte: 02 | bit: 0 | Sbox_index: 59 | index: 101417 | nb shares: 2)  00 =>  0.090613  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 60 | index: 81862 | nb shares: 3)  b3 =>  0.149283  /  0.120600
(byte: 02 | bit: 0 | Sbox_index: 61 | index: 77896 | nb shares: 5)  00 =>  0.102347  /  0.000000
(byte: 02 | bit: 0 | Sbox_index: 62 | index: 80530 | nb shares: 3)  b3 =>  0.179270  /  0.104954
(byte: 02 | bit: 0 | Sbox_index: 63 | index: 82710 | nb shares: 2)  00 =>  0.091917  /  0.000000
count: 28/64

(byte: 03 | bit: 0 | Sbox_index: 0 | index: 81152 | nb shares: 10)  00 =>  0.077575  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 1 | index: 79260 | nb shares: 6)  00 =>  0.077575  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 2 | index: 101722 | nb shares: 7)  00 =>  0.072360  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 3 | index: 82920 | nb shares: 3)  00 =>  0.089309  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 4 | index: 79830 | nb shares: 15)  00 =>  0.069752  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 5 | index: 83675 | nb shares: 3)  00 =>  0.082790  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 6 | index: 81755 | nb shares: 9)  00 =>  0.121904  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 7 | index: 80249 | nb shares: 2)  00 =>  0.084094  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 8 | index: 82910 | nb shares: 3)  00 =>  0.117992  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 9 | index: 82909 | nb shares: 2)  00 =>  0.102347  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 10 | index: 84211 | nb shares: 3)  00 =>  0.076271  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 11 | index: 98400 | nb shares: 10)  00 =>  0.082790  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 12 | index: 81759 | nb shares: 2)  00 =>  0.081486  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 13 | index: 83210 | nb shares: 2)  00 =>  0.184485  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 14 | index: 83633 | nb shares: 3)  00 =>  0.073664  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 15 | index: 101473 | nb shares: 8)  00 =>  0.076271  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 16 | index: 82860 | nb shares: 2)  00 =>  0.172751  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 17 | index: 83357 | nb shares: 2)  00 =>  0.236636  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 18 | index: 81771 | nb shares: 3)  40 =>  0.393090  /  0.141460
(byte: 03 | bit: 0 | Sbox_index: 19 | index: 83051 | nb shares: 3)  40 =>  0.376141  /  0.176662
(byte: 03 | bit: 0 | Sbox_index: 20 | index: 82567 | nb shares: 3)  40 =>  0.490874  /  0.147979
(byte: 03 | bit: 0 | Sbox_index: 21 | index: 81297 | nb shares: 3)  40 =>  0.200130  /  0.111473
(byte: 03 | bit: 0 | Sbox_index: 22 | index: 81306 | nb shares: 3)  40 =>  0.337027  /  0.125815
(byte: 03 | bit: 0 | Sbox_index: 23 | index: 80108 | nb shares: 3)  40 =>  0.197523  /  0.161017
(byte: 03 | bit: 0 | Sbox_index: 24 | index: 80043 | nb shares: 3)  40 =>  0.450456  /  0.215776
(byte: 03 | bit: 0 | Sbox_index: 25 | index: 80072 | nb shares: 3)  40 =>  0.231421  /  0.149283
(byte: 03 | bit: 0 | Sbox_index: 26 | index: 82920 | nb shares: 3)  40 =>  0.239244  /  0.141460
(byte: 03 | bit: 0 | Sbox_index: 27 | index: 80043 | nb shares: 3)  40 =>  0.215776  /  0.132334
(byte: 03 | bit: 0 | Sbox_index: 28 | index: 81306 | nb shares: 3)  40 =>  0.204042  /  0.136245
(byte: 03 | bit: 0 | Sbox_index: 29 | index: 79260 | nb shares: 6)  00 =>  0.077575  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 30 | index: 82567 | nb shares: 3)  40 =>  0.204042  /  0.115385
(byte: 03 | bit: 0 | Sbox_index: 31 | index: 82920 | nb shares: 3)  00 =>  0.089309  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 32 | index: 80043 | nb shares: 3)  40 =>  0.217080  /  0.121904
(byte: 03 | bit: 0 | Sbox_index: 33 | index: 83675 | nb shares: 3)  00 =>  0.082790  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 34 | index: 82567 | nb shares: 3)  40 =>  0.244459  /  0.121904
(byte: 03 | bit: 0 | Sbox_index: 35 | index: 80249 | nb shares: 2)  00 =>  0.084094  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 36 | index: 80072 | nb shares: 3)  40 =>  0.249674  /  0.127119
(byte: 03 | bit: 0 | Sbox_index: 37 | index: 82909 | nb shares: 2)  00 =>  0.102347  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 38 | index: 82920 | nb shares: 3)  40 =>  0.239244  /  0.141460
(byte: 03 | bit: 0 | Sbox_index: 39 | index: 98400 | nb shares: 10)  00 =>  0.082790  /  0.000000
(byte: 03 | bit: 0 | Sbox_index: 40 | index: 82920 | nb shares: 3)  40 =>  0.163625  /  0.111473
(byte: 03 | bit: 0 | Sbox_index: 41 | index: 83210 | nb shares: 2)  00 =>  0.184485  /  0.000000
